Domain;Number;Data Collection Field;Variable Name;Definition;Case Report Form Completion Instructions;Additional Information for Sponsors;CDASH Core;SDTM Mapping;SDTM Term Code
LB;12;"Reference Range
Upper Limit Numeric
Value";LBORNRHI;"The highest continuous numeric value
of a given lab result expected in the population of interest.
See SDTMIG for additional information.";"Record the upper limit of the reference
range of the lab test.";;"Recommended/
Conditional";;
LB;13;"Reference Range for
Character Results in
Standard Units";LBSTNRC;"The set of categorical lab values
expected in the population of interest. See SDTMIG for additional
information.";"Record the boundaries of reference ranges
of the lab test.";;"Recommended/
Conditional";;
LB;14;Abnormal Flag;LBNRIND;"Reference Range Indicator Indicates
where value falls with respect to reference range defined by high and low ranges.";Record whether sample was outside range.;"Abnormal flags may be included if not
derived or determined programmatically after data collection.";"Recommended/
Conditional";;
LB;15;Clinical Significance;LBCLSIG;"Whether lab test results were clinically
significant.";"Record whether lab results were clinically
significant.";"May be included if required by the
 protocol.";"Recommended/
Conditional";;
LB;16;Lab Name;LBNAM;Name of lab analyzing sample.;Record the laboratory name.;"May be included on CRF if multiple labs
are used by a site.
If collecting lab names as free text, sponsors might consider developing a LAB ID so that different ways of writing the names of certain labs will not appear in datasets as different labs.";"Recommended/
Conditional";;
LB;17;Accession Number;LBREFID;"Internal or external specimen
identifier.";"Record the sample or accession number
assigned.";"This can be used to confirm that the
appropriate data record is present in the electronic transfer
May be included for linking back to samples (e.g., Specimen ID).";"Recommended/
Conditional";;
MH;2;"Pre-printed row
number (e.g., 1, 2, 3)";MHSPID;"Optional sponsor-defined reference
number (e.g., pre-printed line number).";Not applicable.;"Some sponsors may pre-number the rows
used to capture the data. If these
identifiers are submitted, MHSPID should be used.";Optional;;
MH;3;"Type of Medical
History being collected";MHCAT;"Used to define a category of related
records (e.g., CARDIAC or
GENERAL).";Not applicable.;"The sponsor may or may not pre-print on
the CRF the type of medical history being captured. If specific medical
 history (e.g., disease diagnosis) is
captured in addition to the general medical history, it may be helpful to pre- print the history type on the CRF. Regardless, MHCAT may be populated in the database as derived field.
Note: MHCAT must be in the database if
MHSCAT is used.";"Recommended/
Conditional";;
MH;4;"Category of Medical
History being collected";MHSCAT;"A categorization of the condition or
event pre-printed on the CRF or instructions.";"Note: The CRF instructions will depend
upon the format of the CRF. Some sponsors ask the sites to use a numeric code (e.g., “123”) to designate a particular category (e.g., “cardiovascular”) while other sponsors will simply pre-print the
categories on the CRF and provide space for the site to record the ailment, disease or
surgery.
Instruction examples:
Use the (sponsor-defined) code list to group the past and / or concomitant medical conditions or surgeries. For example, if the subject has a history of high blood pressure, use code “123” for “cardiovascular”.
OR
Record the concomitant medical conditions or past surgeries under the appropriate category. For example, “high blood pressure” should be recorded under “cardiovascular”.";"The pre-printed groupings should be used
if the sponsor will not code medical history. The categories should be sponsor-defined as sponsors may have
different needs. (Code “123” used in the instructions is simply an example.) The MedDRA SOCs should not be used as
categories on the CRF for several reasons. Sites are probably not familiar with the SOCs. It would be cumbersome to include the 26 organ classes on the
CRF, entry screen or completion instructions. The reviewers expect this
information to be stored in MHBODSYS. Finally, the sponsor may only wish to
inquire about particular groupings or specific diseases; not actual body
systems.
Note that “123” would not be stored in MHSCAT. In this example, “cardiovascular” is the MHSCAT. Numeric codes used on the CRF as an operational tactic to facilitate data entry must be removed prior to submission as they provide no meaning to the reviewer.
Also Note that MHCAT must be in the database if MHSCAT is used.";"Recommended/
Conditional";;
MH;5;Reported Term ;MHTERM ;Verbatim or preprinted CRF term for the medical condition or event.;"Record all relevant past and / or
concomitant medical conditions and past
surgeries, as defined in the protocol. Record
only one condition or surgery per line.
When recording a condition and surgery
related to that condition, use one line for the
condition and one line for the surgery.
Ensure that any of the conditions listed on
the Medical History page do not meet any
of the exclusion criteria.";"Note that if sponsors need to capture
more detailed surgery information (e.g.,
VNS implantation for Epilepsy trials), an
additional CRF module should be used,
modeled as an Interventions domain.";Highly Recommended;;
MH;6;Ongoing?;MHONGO;"Identifies the end of the event as being
ONGOING.";Select the most appropriate response.;"Note that MHONGO is not defined in the
SDTMIG MH domain. If collected, it should be used to derive MHENRTPT.
The Visit Date, captured in the header, or
MHDAT, should be used as the reference time point (MHENTPT).";Optional;;
MH;7;Disease controlled?;MHCTRL;"Identifies the end of the event as being
ONGOING.";Select the most appropriate response.;"Note that MHONGO is not defined in the
SDTMIG MH domain. If collected, it should be used to derive MHENRTPT. The Visit Date, captured in the header, or MHDAT, should be used as the reference time point (MHENTPT).";Optional;;
MH;8;"Pre-printed prompt
for a specific condition/surgery (e.g., Does the subject have high blood pressure?)";MHOCCUR;"A pre-printed prompt used to indicate
whether or not a medical condition has occurred.";"Please indicate if “xyz” has occurred by
checking “Yes” or “No”.";"MHOCCUR should only be used if the
condition pre-printed on the CRF elicits a “Yes” or “No” response. MHOCCUR should not be used if the conditions are collected on the CRF in a manner that requires a free-flow text response.";Optional;;
MH;9;Onset Date;MHSTDAT;Start date of Medical History event.;"Record the onset date using the CDASH-
recommended date format (e.g., 22-AUG-
2008). For more details see Best Practice
Recommendations.";"The sponsor may choose to capture a
 complete date or any variation thereof
(e.g., month & year or year, etc.).
For the SDTM-based dataset, the SDTMIG variable MHSTDTC is derived from the CDASH Onset Date using the ISO 8601 format.";Optional;;
MH;10;End Date;MHDAT;End date of Medical History event.;"Record the end date using the CDASH-
 recommended date format (e.g., 22-AUG-
2008). For more details see Best Practice
Recommendations.";"The sponsor may choose to capture a
 complete date or any variation thereof
(month & year or year, etc.).
For the SDTM-based dataset, the SDTMIG variable MHENDTC is derived from the CDASH End Date using the
ISO 8601 format.";Optional;;
MH;11;Completion Date;MHDAT;"Completion date of the Medical
History data collection form.";"Record the date on which the Medical
History was taken using the CDASH- recommended date format (e.g., 22-AUG-
2008). For more details see Best Practice
Recommendations.";This should be a complete date.;Optional;;
PE;2;Date of Examination;PEDAT;Date of examination.;"Record complete date of examination, day,
month and year using the CDASH- recommended date format (e.g., 08-AUG-
2008).  Best Practice
section.";"The date of examination may be derived
from the date of visit and therefore a separate assessment date field is not
required.
For the SDTM-based dataset, the SDTMIG variable PEDTC is derived by concatenating CDASH Date and Time of Examination (if time is collected) into PEDTC using the ISO 8601 format.";"Recommended/
Conditional";;
PE;3;Time of Examination;PETIM;"Time of examination. (Note: If collected,
will be used to derive PEDTC.)";"Record the time of examination (as complete
as possible).  Best
Practice section.";"For the SDTM-based dataset, the
SDTMIG variable PEDTC is derived by concatenating CDASH Date and Time of Examination (if time is collected) into PEDTC using the ISO 8601 format.";Optional;;
PE;4;"Sponsor-Defined
Identifier";PESPID;Sponsor-defined reference number.;Not applicable.;"May be pre-printed on the CRF as an
explicit line identifier or defined in the sponsor’s operational database.";Optional;;
PE;5;"Body System
Examined";PETEST;Name of the body system.;"Per protocol, perform physical examinations
of specified body systems.";"Sponsor should pre-populate CRF with all
body systems to be examined. The use of a complete list of body systems eliminates
the need for an other/specify category as
any abnormalities identified should fall under one of the pre-specified categories.
Even if the sponsor does not require all body systems to be examined at a given time point, the complete list should still be used. Instructions should be given to the site to record “Not Done” in Exam Result field for any systems not examined.";"Highly
Recommended";;
PE;6;Examination Result;PERES;"Overall assessment of examined body
system.";"For each body system listed, record the result
of the examination (Normal or Abnormal). If the examination is not performed or not
required select Not Done.";"For each body system listed on the CRF,
provide the following options for results: Normal, Abnormal and Not Done. Sites
should be directed to complete overall
assessment for each exam category/body system listed.
In SDTMIG, if the examined body system is normal then the value in PEORRES should be NORMAL. If the body system is not examined, then the value in PEORRES should be Null and the value in PESTAT should be Not Done. If the examined body system is abnormal, then the value of PEORRES should contain the text of the abnormal findings.
If the sponsor’s data collection system allows for up front recording of the abnormality and status using one variable then the SDTMIG variable name PEORRES should be used in place of CDASH variable names PERES and PEDESC";"Highly
Recommended";;
PE;7;Abnormal Findings;PEDESC;"Text description of any abnormal
findings.";"Record all abnormal findings for the given
body system in the space provided.";"Text entered under abnormal findings
(PEDESC) should be mapped to
PEORRES.
If the sponsor’s data collection system allows for up front recording of the abnormality and status using one variable then the SDTMIG variable name PEORRES should be used in place of CDASH variable names PERES and PEDESC";"Highly
Recommended";;
PE;8;Clinical Significance;PECLSIG;"Whether physical examination
abnormality is clinically significant";"Record whether abnormality is clinically
significant.";"If this level of information is needed for
reconciliation with adverse events, this field may be added to the CRF.";Optional;;
PE;9;Evaluator;PEEVAL;"Role of the person who provided the
evaluation.";"Enter the role of the person who provided the
evaluation (e.g., investigator, adjudication committee, vendor).";"Used only for results that are subjective.
Should be null for records that contain collected or derived data.";Optional;;
DV;2;"Protocol Deviation
Term (text) and or Protocol Deviation Coded Term";"DVTERM
And/or
DVDECOD";"Verbatim text of the variation from
processes or procedures defined in a protocol and/or controlled terminology for the name of the protocol deviation.";"Record protocol deviation identified and/or
select the appropriate code from the list of protocol deviation terms.";"This may be derived. Only “Highly
Recommended” if collecting protocol deviations on a CRF.";"Highly
Recommended";;
DV;3;Start Date;DVSTDAT;Start date of Deviation.;"Record complete date that the protocol
deviation began using the CDASH- recommended date format (e.g., 08-AUG-
2008). For more detail instructions see the

This should be the start or occurrence of the protocol deviation and not the date it was discovered or reported.";"This may be derived if not collected on a
CRF.
For the SDTM-based dataset, the SDTMIG variable DVSTDTC is derived by concatenating CDASH Start Date and Time (if time is collected) into DVSTDTC using the ISO 8601 format.";Optional;;
DV;4;Start Time;"

DVSTTIM";Start time of Deviation.  (Note: If collected, will be derived into DVSTDTC.);"If appropriate, record the time (as complete
as possible) the protocol deviation began. For more detail instructions see the Best
Practice section.
This should be the start or occurrence of the protocol deviation and not the time it was discovered or reported.";"
For the SDTM-based dataset, the SDTMIG variable DVSTDTC is derived by concatenating CDASH Start Date and Time (if time is collected) into DVSTDTC using the ISO 8601 format."; Optional;;
DV;5;End Date;DVENDAT;End date of Deviation.;"Record the date that the Protocol deviation
ended using the CDASH-recommended date format (e.g., 08-AUG-2008). .
This should be the date the protocol deviation stopped and not the date it was discovered or reported.";"
For the SDTM-based dataset, the SDTMIG variable DVENDTC is derived by concatenating CDASH End Date and Time (if time is collected) into DVENDTC using the ISO 8601 format.";Optional;;
DV;6;End Time;DVENTIM;"End time of Deviation. (Note: If collected,
will be derived into
DVENDTC.)";"Optionally, if appropriate, record the time (as
complete as possible) the protocol deviation ended.
This should be the time the protocol deviation stopped and not the time it was discovered or reported.";"For the SDTM-based dataset, the
SDTMIG variable DVENDTC is derived by concatenating CDASH End Date and Time (if time is collected) into DVENDTC using the ISO 8601 format.";Optional;;
DV;7;"Sponsor-Defined
Identifier";DVSPID;Sponsor-defined reference number.;Not applicable.;"Can be pre-printed on the CRF as an
explicit line identifier or defined in sponsor’s operational database (e.g., Line
number on a CRF page)."; Optional;;
SC;2;"Subject Characteristic
Answer/Result";SCORRES;"Answer/result of the subject
characteristic question as originally received or collected.";Record the answer to the question.;Not applicable.;"Highly
Recommended";;
SC;1;"Gestational Age at
Birth";SCTEST;"The age (in weeks) of the newborn
infant, counted from the woman's last menstrual period (LMP) or health status
indicators / Clinical Estimate (CE).";Not applicable.;"A constant that may be useful for analysis in pediatric or
neonatal study analyses.";;;
SC;2;Childbearing Potential;SCTEST;Subject’s childbearing potential.;"Check the correct box to indicate the
subject’s childbearing potential, or postmenopausal or sterilized as required for
the form.";Not applicable.;;;
SC;3;Education;SCTEST;"Education level achieved at start of
study (Reference date).";Not applicable.;Not applicable.;;;
SC;4;"Sub-study
Participation";SCTEST;Sub-study participation information.;Not applicable.;"For some studies sub-study information is captured, such as
“subject is on fasting sub-study” or “subject is on PK sub- study”.";;;
SU;1;"Type of substance
 used?";SUTRT;"The type of substance (e.g., TOBACCO,
ALCOHOL, CAFFEINE, etc. Or CIGARETTES, CIGARS, COFFEE, etc.).";Not applicable.;"Note that sponsors may require different
types of substance use data (e.g., illicit drug use, cigarettes, etc.); the value for category may be pre-printed on the CRF
as a label for the prompt for Substance
Use.
If a more detailed type of substance appears on the CRF (e.g., cigarettes, cigars, rather than tobacco), SUCAT should be “tobacco” and SUTRT should be “cigarettes”. If the sponsor does not specify a type of tobacco on the CRF, SUTRT should be “tobacco”.";"Highly
Recommended";;
SU;2;Substance use?;"

SUNCF";Substance Use Occurrence;"Check the appropriate box to indicate if the
subject has ever used/consumed tobacco /
alcohol / caffeine, currently consumes tobacco / alcohol / caffeine, or formerly used/consumed tobacco / alcohol / caffeine.";"The Domain Team recommends the use
of “NEVER”, “CURRENT” and
“FORMER” as responses.
The three options, “NEVER”, “CURRENT” and “FORMER” should be sponsor-defined. If the sponsor has specific definitions for the three, these definitions should be detailed in the instructions to the site.
As this type of response does not easily correspond to an SDTMIG variable. The Domain Team recommends using SUNCF as the variable name in the clinical database. Note that SUNCF is not defined in the SDTM and, generally,
should be dropped prior to submission. If submitted, it should be stored in
SUPPSU.
Note that “NEVER” maps to SUOCCUR as “N”. “CURRENT” and “FORMER” map to SUOCCUR as “Y”.";"Highly
Recommended";;
SU;3;"Category of substance
 used";SUCAT;"Used to define a category of related
records (e.g., TOBACCO, ALCOHOL, CAFFEINE, etc.).";Not applicable.;"Note that sponsors may require different
types of substance use data (e.g., illicit drug use, cigarettes, etc.); the value for category may be pre-printed on the CRF as a label for the Prompt for Substance Use.
If a more detailed type of substance appears on the CRF (e.g., cigarettes, cigars, rather than tobacco), SUCAT should be “tobacco” and SUTRT should be “cigarettes”. If the sponsor does not specify a type of tobacco on the CRF, SUTRT should be “tobacco”.";Optional;;
SU;4;Amount;SUDOSTXT;"Substance use consumption amounts or
a range of consumption information collected in text form [e.g., 1-2
(packs), 8 (ounces), etc].";"Check the appropriate box to indicate the
amount of tobacco / alcohol / caffeine the subject consumes on a regular basis.";"Where possible, the options for dose/amount should be pre-printed on the CRF.
Note that in the example given in the Definition, “(packs)” and “(ounces)” have been included as a point of reference. They would, of course, be stored as SUDOSU.
If the dose is part of a planned analysis, then the use of SUDOSE, a numeric field, should be considered.";Optional;;
SU;5;Unit;SUDOSU;"Units for SUDOSTXT (e.g., PACKS,
OUNCES, etc.).";Not applicable.;Where possible, the options for dose/amount units should be pre-printed on the CRF.;Optional;;
SU;6;Frequency;SUDOSFRQ;"Usually expressed as the number of uses
consumed per a specific interval (e.g., PER DAY, PER WEEK,
OCCASIONAL).";Not applicable.;"Where possible, the options for
dose/amount frequency should be pre- printed on the CRF.";Optional;;
SU;7;Start Date;SUSTDAT;Date substance use started.;"Record the start date using the CDASH-
 recommended date format (e.g., 22-AUG-
2008). For more details see Best Practice
Recommendations.";"The sponsor may choose to capture a
complete date or any variation thereof
(e.g., month & year or year, etc.).";Optional;;
SU;8;End Date;SUENDAT;Date substance use ended.;"Record the end date using the CDASH-
recommended date format (e.g., 22-AUG-
2008). For more details see Best Practice
Recommendations.";"The sponsor may choose to capture a
complete date or any variation thereof
(e.g., month & year or year, etc.).";Optional;;
SU;9;Duration;"
SUCDUR";The duration of the substance use.;"Provide the duration of the Substance
Abuse (e.g., Record how long the subject has smoked).";"This should only be collected on the CRF
 if this level of detail is needed and if
SUSTDTC & SUENDTC are not
collected on the CRF.
The sponsor-defined options (e.g., weeks, months, years, etc.) should be pre-printed on the CRF to avoid making this a free text field. This will allow the response to be translated into ISO 8601 format.
For the SDTM-based dataset, the SDTMIG variable SUDUR can be derived by concatenating the CDASH duration and duration units variables.";Optional;;
SU;10;Unit for Duration;SUCDURU;"Units for SUCDUR (e.g., weeks,
months, years, etc.).";Not applicable.;;Optional;;
VS;1;Date of Measurements;"
VSDAT";Date of measurements;"Record date of measurements using the
CDASH-recommended date format (e.g., 08- AUG-2008). For more detail instructions see the ";"The date of measurement can usually be
derived from the date of visit and in such cases a separate measurement date field is not required.
For the SDTM-based dataset, the SDTMIG variable VSDTC is derived by concatenating CDASH Date and Time of Vital Sign Measurements (if time is collected) into VSDTC using the ISO 8601 format.";"Recommended/
Conditional";;
VS;2;"Time of Vital Sign
Measurements";VSTIM;"Time of measurements. (Note: If collected,
will be used to derive
VSDTC.)";"Record time of measurement (as complete as
possible). For more detail instructions see the
";"For the SDTM-based dataset, the
SDTMIG variable VSDTC is derived by concatenating CDASH Date and Time of Vital Sign Measurements (if time is
collected) into VSDTC using the ISO 8601 format.";"Recommended/
Conditional";;
VS;3;"Sponsor-Defined
Identifier";VSSPID;Sponsor-defined reference number;Not applicable.;"Pre-printed on the CRF as an explicit line
identifier or defined in the sponsor’s operational database.";Optional;;
VS;4;Planned Time Point;VSTPT;"Text description of time when
measurement should be taken";Not applicable.;"If applicable, this will be pre-printed on
CRF when measurements are required at multiple time points within a visit day.";"Recommended/
Conditional";;
VS;6;Vitals Status;VSSTAT;"Used to indicate that a vital signs
measurement was not done.";"If measurement not taken please indicate on
CRF by selecting Not Done.";"If CRF design provides for individual status
check boxes where site can indicate Not
Done for the given parameter, information would be stored as Not Done in VSSTAT. If value exists in VSORRES then the result in VSSTAT is Null.
If CRF guidelines direct site to enter Not Done (or similar text) in the result field, then value of VSSTAT is Not Done, otherwise if numeric value exists in result variable (VSORRES) then value of VSSTAT is Null.
This field is used to assist in data monitoring and cleaning";"Recommended/
Conditional";;
VS;7;"Vital Sign Test Result
or Finding";VSORRES;"Result of the vital signs measurement as
originally received or collected.";Record vital sign results.;Key data collected.;"Highly
Recommended";;
VS;8;Original Units;VSORRESU;"Original units in which the data were
collected.";"Record or select the unit of measure
associated with the test, if not pre-printed on the CRF.";"It is recommended that the units be
sponsor-defined and pre-printed on the
CRF when possible.";"Highly
Recommended";;
VS;9;Clinical Significance;VSCLSIG;"Whether vital sign result was clinically
significant.";"Record whether vital sign result was clinically
significant.";"If this level of information is needed, it
may be added to the CRF.";Optional;;
TE;1;"Protocol/Study
Identifier";STUDYID;"Unique Identifier for a study within
a submission.";Not applicable.;"This is typically pre-printed/pre-
populated.";"Highly
Recommended";;
TE;2;"Site Identifier Within
a Study";"SITEID
Or
SITENO";"Unique identifier for the study site;
however, SITEID is also unique within a submission.";"Record your clinical site’s identifier as
defined by the sponsor.";"EDC: This should be pre-populated.
If SITEID is not used, SITENO should be used to derive SITEID for SDTM, depending upon sponsor’s site identification scheme.";"Highly
Recommended";;
TE;3;Subject Identifier;SUBJID;Subject identifier for the study.;Record the identifier for the subject.;EDC: The subject identifiers may be provided to the site using a pre-populated list in the system.;"Highly
Recommended";;
TE;4;"Unique Subject
Identifier";USUBJID;"Unique subject identifier within a
submission.";Record the identifier for the subject.;EDC: The subject identifiers may be provided to the site using a pre-populated list in the system.;Optional;;
TE;5;Investigator Identifier;INVID;Investigator identifier.;"Record the sponsor-defined identifier for
your site investigator.";"Study level – Not needed if SITEID is
equivalent to INVID.";Optional;;
TE;6;"Sponsor-Defined
Identifier";SPID;"Optional sponsor-defined reference
number. Perhaps pre-printed/pre- populated as an explicit line
identifier or defined in the sponsor’s operational database (e.g., line
number on a Disposition page).";Not applicable.;"When used, this is typically pre-printed/
pre-populated.";Optional;;
TE;1;Visit;VISIT / VISITNUM;Visit Name / Visit Number.;"When applicable (e.g., on paper CRFs),
record the visit name and/or visit number.";"This is typically pre-printed/pre-
populated.";Optional;;
TE;2;Date of Visit;VISDAT;Date the visit took place.;Record the date the visit took place.;"This may be recorded in either the header
 of the CRF or in the body of the CRF.";"Highly
Recommended";;
TE;3;Time of Visit;VISTIM;Time the visit took place.;Record the time the visit took place.;This may be useful for Phase I trials.;Optional;;
