Code;Codelist Code;Codelist Extensible (Yes/No);Codelist Name;CDISC Submission Value;CDISC Preferred Term;CDISC Synonym(s);CDISC Definition;NCI Preferred Term;
C74847;C65047;;Laboratory Test Code;ADH;ADH;Antidiuretic Hormone, Vasopressin;A measurement of the antidiuretic hormone in a biological specimen.;Antidiuretic Hormone Measurement;
C74886;C65047;;Laboratory Test Code;ANP;ANP;Atrial Natriuretic Peptide, Atriopeptin;A measurement of the atrial natriuretic peptide in a biological specimen.;Atrial Natriuretic Peptide Measurement;
C74692;C65047;;Laboratory Test Code;BNZDZPN;BNZDZPN;Benzodiazepine;A measurement of any benzodiazepine class drug present in a biological specimen.;Benzodiazepine Measurement;
C74800;C65047;;Laboratory Test Code;BILEAC;BILEAC;Bile Acid, Bile Salts, Bile Acids, Bile Salt;A measurement of the total bile acids in a biological specimen.;Bile Acid Measurement;
C74848;C65047;;Laboratory Test Code;CLCTONN;CLCTONN;Calcitonin;A measurement of the calcitonin hormone in a biological specimen.;Calcitonin Measurement;
C74849;C65047;;Laboratory Test Code;CLCTRIOL;CLCTRIOL;Calcitriol;A measurement of the calcitriol hormone in a biological specimen.;Calcitriol Measurement;
C79439;C65047;;Laboratory Test Code;CACREAT;CACREAT;Calcium/Creatinine;A relative measurement (ratio or percentage) of the calcium to creatinine in a biological specimen.;Calcium to Creatinine Ratio Measurement;
C79440;C65047;;Laboratory Test Code;CLCREAT;CLCREAT;Chloride/Creatinine;A relative measurement (ratio or percentage) of the chloride to creatinine in a biological specimen.;Chloride to Creatinine Ratio Measurement;
C74850;C65047;;Laboratory Test Code;CCK;CCK;Cholecystokinin, Pancreozymin;A measurement of the cholecystokinin hormone in a biological specimen.;Cholecystokinin Measurement;
C74877;C65047;;Laboratory Test Code;CODEINE;CODEINE;Codeine;A measurement of the codeine present in a biological specimen.;Codeine Measurement;
C79434;C65047;;Laboratory Test Code;CRTRONE;CRTRONE;Corticosterone;A measurement of corticosterone in a biological specimen.;Corticosterone Measurement;
C74851;C65047;;Laboratory Test Code;CRH;CRH;Corticotropin Releasing Hormone, Corticotropin Releasing Factor;A measurement of the corticotropin releasing hormone in a biological specimen.;Corticotropin Releasing Hormone Measurement;
C79466;C65047;;Laboratory Test Code;CKBBCK;CKBBCK;Creatine Kinase BB/Total Creatine Kinase;A relative measurement (ratio or percentage) of the BB-type creatine kinase to total creatine kinase in a biological specimen.;Creatine Kinase BB to Total Creatine Kinase Ratio Measurement;
C79441;C65047;;Laboratory Test Code;CKMBCK;CKMBCK;Creatine Kinase MB/Total Creatine Kinase;A relative measurement (ratio or percentage) of the MB-type creatine kinase to total creatine kinase in a biological specimen.;Creatine Kinase MB to Total Creatine Kinase Ratio Measurement;
C79442;C65047;;Laboratory Test Code;CKMMCK;CKMMCK;Creatine Kinase MM/Total Creatine Kinase;A relative measurement (ratio or percentage) of the MM-type creatine kinase to total creatine kinase in a biological specimen.;Creatine Kinase MM to Total Creatine Kinase Ratio Measurement;
C74852;C65047;;Laboratory Test Code;DHEA;DHEA;Dehydroepiandrosterone, Dehydroisoandrosterone;A measurement of the dehydroepiandrosterone hormone in a biological specimen.;Dehydroepiandrosterone Measurement;
C79443;C65047;;Laboratory Test Code;DPD;DPD;Deoxypyridinoline;A measurement of the deoxypyridinoline in a biological specimen.;Deoxypyridinoline Measurement;
C79444;C65047;;Laboratory Test Code;DPDCREAT;DPDCREAT;Deoxypyridinoline/Creatinine;A relative measurement (ratio or percentage) of the deoxypyridinoline to creatinine in a biological specimen.;Deoxypyridinoline to Creatinine Ratio Measurement;
C74878;C65047;;Laboratory Test Code;DIHYDCDN;DIHYDCDN;Dihydrocodeine;A measurement of the dihydrocodeine present in a biological specimen.;Dihydrocodeine Measurement;
C74853;C65047;;Laboratory Test Code;DHT;DHT;Dihydrotestosterone, Androstanalone;A measurement of the dihydrotestosterone hormone in a biological specimen.;Dihydrotestosterone Measurement;
C74854;C65047;;Laboratory Test Code;DOPAMINE;DOPAMINE;Dopamine;A measurement of the dopamine hormone in a biological specimen.;Dopamine Measurement;
C79445;C65047;;Laboratory Test Code;EPIN;EPIN;Epinephrine, Adrenaline;A measurement of the epinephrine hormone in a biological specimen.;Epinephrine Measurement;
C74855;C65047;;Laboratory Test Code;EPO;EPO;Erythropoietin, Hematopoietin;A measurement of the erythropoietin hormone in a biological specimen.;Erythropoietin Measurement;
C74856;C65047;;Laboratory Test Code;ESTRIOL;ESTRIOL;Estriol, Oestriol;A measurement of the estriol hormone in a biological specimen.;Estriol Measurement;
C74857;C65047;;Laboratory Test Code;ESTRONE;ESTRONE;Estrone, Oestrone;A measurement of the estrone hormone in a biological specimen.;Estrone Measurement;
C74693;C65047;;Laboratory Test Code;ETHANOL;ETHANOL;Ethanol, Alcohol;A measurement of the ethanol present in a biological specimen.;Ethanol Measurement;
C79446;C65047;;Laboratory Test Code;GGTCREAT;GGTCREAT;Gamma Glutamyl Transferase/Creatinine;A relative measurement (ratio or percentage) of the gamma glutamyl transferase to creatinine in a biological specimen.;Gamma Glutamyl Transferase to Creatinine Ratio Measurement;
C74858;C65047;;Laboratory Test Code;GASTRIN;GASTRIN;Gastrin;A measurement of the gastrin hormone in a biological specimen.;Gastrin Measurement;
C74859;C65047;;Laboratory Test Code;GLUCAGON;GLUCAGON;Glucagon;A measurement of the glucagon hormone in a biological specimen.;Glucagon Measurement;
C79447;C65047;;Laboratory Test Code;GLUCCRT;GLUCCRT;Glucose/Creatinine;A relative measurement (ratio or percentage) of the glucose to creatinine in a biological specimen.;Glucose to Creatinine Ratio Measurement;
C79448;C65047;;Laboratory Test Code;GLDH;GLDH;Glutamate Dehydrogenase;A measurement of the glutamate dehydrogenase in a biological specimen.;Glutamate Dehydrogenase Measurement;
C79435;C65047;;Laboratory Test Code;GSTCREAT;GSTCREAT;Glutathione-S-Transferase/Creatinine;A relative measurement (ratio or percentage) of the glutathione S-transferase to creatinine in a biological specimen.;Glutathione-S-Transferase to Creatinine Ratio Measurement;
C74860;C65047;;Laboratory Test Code;GNRH;GNRH;Gonadotropin Releasing Hormone, Luteinising Hormone Releasing Hormone;A measurement of the gonadotropin releasing hormone in a biological specimen.;Gonadotropin Releasing Hormone Measurement;
C74861;C65047;;Laboratory Test Code;GRWHIH;GRWHIH;Growth Hormone Inhibiting Hormone, Somatostatin;A measurement of the growth hormone inhibiting hormone in a biological specimen.;Growth Hormone Inhibiting Hormone Measurement;
C74862;C65047;;Laboratory Test Code;GRWHRH;GRWHRH;Growth Hormone Releasing Hormone, Somatocrinin;A measurement of the growth hormone releasing hormone in a biological specimen.;Growth Hormone Releasing Hormone Measurement;
C74863;C65047;;Laboratory Test Code;HVA;HVA;Homovanillic Acid;A measurement of the homovanillic acid metabolite in a biological specimen.;Homovanillic Acid Measurement;
C74879;C65047;;Laboratory Test Code;HYDCDN;HYDCDN;Hydrocodone;A measurement of the hydrocodone present in a biological specimen.;Hydrocodone Measurement;
C74880;C65047;;Laboratory Test Code;HYDMRPHN;HYDMRPHN;Hydromorphone;A measurement of the hydromorphone present in a biological specimen.;Hydromorphone Measurement;
C74864;C65047;;Laboratory Test Code;IGF1;IGF1;Insulin-like Growth Factor-1;A measurement of the insulin-like growth factor-1 in a biological specimen.;Insulin Like Growth Factor-1 Measurement;
C74865;C65047;;Laboratory Test Code;IGF2;IGF2;Insulin-like Growth Factor-2;A measurement of the insulin-like growth factor-2 in a biological specimen.;Insulin Like Growth Factor-2 Measurement;
C74805;C65047;;Laboratory Test Code;INTLK1;INTLK1;Interleukin 1;A measurement of the interleukin 1 in a biological specimen.;Interleukin 1 Measurement;
C74806;C65047;;Laboratory Test Code;INTLK10;INTLK10;Interleukin 10;A measurement of the interleukin 10 in a biological specimen.;Interleukin 10 Measurement;
C74807;C65047;;Laboratory Test Code;INTLK11;INTLK11;Interleukin 11;A measurement of the interleukin 11 in a biological specimen.;Interleukin 11 Measurement;
C74808;C65047;;Laboratory Test Code;INTLK12;INTLK12;Interleukin 12;A measurement of the interleukin 12 in a biological specimen.;Interleukin 12 Measurement;
C74809;C65047;;Laboratory Test Code;INTLK13;INTLK13;Interleukin 13;A measurement of the interleukin 13 in a biological specimen.;Interleukin 13 Measurement;
C74810;C65047;;Laboratory Test Code;INTLK14;INTLK14;Interleukin 14;A measurement of the interleukin 14 in a biological specimen.;Interleukin 14 Measurement;
C74811;C65047;;Laboratory Test Code;INTLK15;INTLK15;Interleukin 15;A measurement of the interleukin 15 in a biological specimen.;Interleukin 15 Measurement;
C74812;C65047;;Laboratory Test Code;INTLK16;INTLK16;Interleukin 16;A measurement of the interleukin 16 in a biological specimen.;Interleukin 16 Measurement;
C74813;C65047;;Laboratory Test Code;INTLK17;INTLK17;Interleukin 17;A measurement of the interleukin 17 in a biological specimen.;Interleukin 17 Measurement;
C74814;C65047;;Laboratory Test Code;INTLK18;INTLK18;Interleukin 18;A measurement of the interleukin 18 in a biological specimen.;Interleukin 18 Measurement;
C74815;C65047;;Laboratory Test Code;INTLK19;INTLK19;Interleukin 19;A measurement of the interleukin 19 in a biological specimen.;Interleukin 19 Measurement;
C74816;C65047;;Laboratory Test Code;INTLK2;INTLK2;Interleukin 2;A measurement of the interleukin 2 in a biological specimen.;Interleukin 2 Measurement;
C74817;C65047;;Laboratory Test Code;INTLK20;INTLK20;Interleukin 20;A measurement of the interleukin 20 in a biological specimen.;Interleukin 20 Measurement;
C74818;C65047;;Laboratory Test Code;INTLK21;INTLK21;Interleukin 21;A measurement of the interleukin 21 in a biological specimen.;Interleukin 21 Measurement;
C74819;C65047;;Laboratory Test Code;INTLK22;INTLK22;Interleukin 22;A measurement of the interleukin 22 in a biological specimen.;Interleukin 22 Measurement;
C74820;C65047;;Laboratory Test Code;INTLK23;INTLK23;Interleukin 23;A measurement of the interleukin 23 in a biological specimen.;Interleukin 23 Measurement;
C74821;C65047;;Laboratory Test Code;INTLK24;INTLK24;Interleukin 24;A measurement of the interleukin 24 in a biological specimen.;Interleukin 24 Measurement;
C74822;C65047;;Laboratory Test Code;INTLK25;INTLK25;Interleukin 25;A measurement of the interleukin 25 in a biological specimen.;Interleukin 25 Measurement;
C74823;C65047;;Laboratory Test Code;INTLK26;INTLK26;Interleukin 26;A measurement of the interleukin 26 in a biological specimen.;Interleukin 26 Measurement;
C74824;C65047;;Laboratory Test Code;INTLK27;INTLK27;Interleukin 27;A measurement of the interleukin 27 in a biological specimen.;Interleukin 27 Measurement;
C74825;C65047;;Laboratory Test Code;INTLK28;INTLK28;Interleukin 28;A measurement of the interleukin 28 in a biological specimen.;Interleukin 28 Measurement;
C74826;C65047;;Laboratory Test Code;INTLK29;INTLK29;Interleukin 29;A measurement of the interleukin 29 in a biological specimen.;Interleukin 29 Measurement;
C74827;C65047;;Laboratory Test Code;INTLK3;INTLK3;Interleukin 3;A measurement of the interleukin 3 in a biological specimen.;Interleukin 3 Measurement;
C74828;C65047;;Laboratory Test Code;INTLK30;INTLK30;Interleukin 30;A measurement of the interleukin 30 in a biological specimen.;Interleukin 30 Measurement;
C74829;C65047;;Laboratory Test Code;INTLK31;INTLK31;Interleukin 31;A measurement of the interleukin 31 in a biological specimen.;Interleukin 31 Measurement;
C74830;C65047;;Laboratory Test Code;INTLK32;INTLK32;Interleukin 32;A measurement of the interleukin 32 in a biological specimen.;Interleukin 32 Measurement;
C74831;C65047;;Laboratory Test Code;INTLK33;INTLK33;Interleukin 33;A measurement of the interleukin 33 in a biological specimen.;Interleukin 33 Measurement;
C74832;C65047;;Laboratory Test Code;INTLK4;INTLK4;Interleukin 4;A measurement of the interleukin 4 in a biological specimen.;Interleukin 4 Measurement;
C74833;C65047;;Laboratory Test Code;INTLK5;INTLK5;Interleukin 5;A measurement of the interleukin 5 in a biological specimen.;Interleukin 5 Measurement;
C74834;C65047;;Laboratory Test Code;INTLK6;INTLK6;Interleukin 6;A measurement of the interleukin 6 in a biological specimen.;Interleukin 6 Measurement;
C74835;C65047;;Laboratory Test Code;INTLK7;INTLK7;Interleukin 7;A measurement of the interleukin 7 in a biological specimen.;Interleukin 7 Measurement;
C74836;C65047;;Laboratory Test Code;INTLK8;INTLK8;Interleukin 8;A measurement of the interleukin 8 in a biological specimen.;Interleukin 8 Measurement;
C74837;C65047;;Laboratory Test Code;INTLK9;INTLK9;Interleukin 9;A measurement of the interleukin 9 in a biological specimen.;Interleukin 9 Measurement;
C74887;C65047;;Laboratory Test Code;LDH1;LDH1;LDH Isoenzyme 1;A measurement of the lactate dehydrogenase isoenzyme 1 in a biological specimen.;Lactate Dehydrogenase Isoenzyme 1 Measurement;
C74888;C65047;;Laboratory Test Code;LDH2;LDH2;LDH Isoenzyme 2;A measurement of the lactate dehydrogenase isoenzyme 2 in a biological specimen.;Lactate Dehydrogenase Isoenzyme 2 Measurement;
C74889;C65047;;Laboratory Test Code;LDH3;LDH3;LDH Isoenzyme 3;A measurement of the lactate dehydrogenase isoenzyme 3 in a biological specimen.;Lactate Dehydrogenase Isoenzyme 3 Measurement;
C74890;C65047;;Laboratory Test Code;LDH4;LDH4;LDH Isoenzyme 4;A measurement of the lactate dehydrogenase isoenzyme 4 in a biological specimen.;Lactate Dehydrogenase Isoenzyme 4 Measurement;
C74891;C65047;;Laboratory Test Code;LDH5;LDH5;LDH Isoenzyme 5;A measurement of the lactate dehydrogenase isoenzyme 5 in a biological specimen.;Lactate Dehydrogenase Isoenzyme 5 Measurement;
C79449;C65047;;Laboratory Test Code;LDHCREAT;LDHCREAT;Lactate Dehydrogenase/Creatinine;A relative measurement (ratio or percentage) of the lactate dehydrogenase to creatinine in a biological specimen.;Lactate Dehydrogenase to Creatinine Ratio Measurement;
C79450;C65047;;Laboratory Test Code;LACTICAC;LACTICAC;Lactic Acid, 2-hydroxypropanoic acid, Lactate;A measurement of the lactic acid in a biological specimen.;Lactic Acid Measurement;
C79467;C65047;;Laboratory Test Code;LGLUCLE;LGLUCLE;Large Unstained Cells/Leukocytes;A relative measure (ratio or percentage) of the large unstained cells to leukocytes in a biological specimen.;Large Unstained Cells to Leukocytes Ratio Measurement;
C79451;C65047;;Laboratory Test Code;LDH1LDH;LDH1LDH;LDH Isoenzyme 1/LDH;A relative measurement (ratio or percentage) of the lactate dehydrogenase isoenzyme 1 to total lactate dehydrogenase in a biological specimen.;LDH Isoenzyme 1 to LDH Ratio Measurement;
C79452;C65047;;Laboratory Test Code;LDH2LDH;LDH2LDH;LDH Isoenzyme 2/LDH;A relative measurement (ratio or percentage) of the lactate dehydrogenase isoenzyme 2 to total lactate dehydrogenase in a biological specimen.;LDH Isoenzyme 2 to LDH Ratio Measurement;
C79453;C65047;;Laboratory Test Code;LDH3LDH;LDH3LDH;LDH Isoenzyme 3/LDH;A relative measurement (ratio or percentage) of the lactate dehydrogenase isoenzyme 3 to total lactate dehydrogenase in a biological specimen.;LDH Isoenzyme 3 to LDH Ratio Measurement;
C79454;C65047;;Laboratory Test Code;LDH4LDH;LDH4LDH;LDH Isoenzyme 4/LDH;A relative measurement (ratio or percentage) of the lactate dehydrogenase isoenzyme 4 to total lactate dehydrogenase in a biological specimen.;LDH Isoenzyme 4 to LDH Ratio Measurement;
C79455;C65047;;Laboratory Test Code;LDH5LDH;LDH5LDH;LDH Isoenzyme 5/LDH;A relative measurement (ratio or percentage) of the lactate dehydrogenase isoenzyme 5 to total lactate dehydrogenase in a biological specimen.;LDH Isoenzyme 5 to LDH Ratio Measurement;
C74866;C65047;;Laboratory Test Code;LEPTIN;LEPTIN;Leptin;A measurement of the leptin hormone in a biological specimen.;Leptin Measurement;
C79456;C65047;;Laboratory Test Code;MGCREAT;MGCREAT;Magnesium/Creatinine;A relative measurement (ratio or percentage) of the magnesium to creatinine in a biological specimen.;Magnesium to Creatinine Ratio Measurement;
C74867;C65047;;Laboratory Test Code;MLATONIN;MLATONIN;Melatonin;A measurement of the melatonin hormone in a biological specimen.;Melatonin Measurement;
C74881;C65047;;Laboratory Test Code;METHDN;METHDN;Methadone;A measurement of the methadone present in a biological specimen.;Methadone Measurement;
C74882;C65047;;Laboratory Test Code;METHQLDN;METHQLDN;Methaqualone;A measurement of the methaqualone present in a biological specimen.;Methaqualone Measurement;
C74883;C65047;;Laboratory Test Code;MORPHINE;MORPHINE;Morphine;A measurement of the morphine present in a biological specimen.;Morphine Measurement;
C79457;C65047;;Laboratory Test Code;GSTMU;GSTMU;Mu Glutathione-S-Transferase;A measurement of the mu form of glutathione S-transferase in a biological specimen.;Mu Glutathione-S-Transferase Measurement;
C79458;C65047;;Laboratory Test Code;GSTMUCRT;GSTMUCRT;Mu Glutathione-S-Transferase/Creatinine;A relative measurement (ratio or percentage) of the mu gamma glutamyl transpeptidase to creatinine in a biological specimen.;Mu Glutathione-S-Transferase to Creatinine Ratio Measurement;
C79436;C65047;;Laboratory Test Code;MGB;MGB;Myoglobin;A measurement of myoglobin in a biological specimen.;Myoglobin Measurement;
C79459;C65047;;Laboratory Test Code;NAG;NAG;N-Acetyl Glucosamide, N-Acetyl Glucosamine;A measurement of N-acetyl glucosamide in a biological specimen.;N-Acetyl Glucosamide Measurement;
C79460;C65047;;Laboratory Test Code;NAGCREAT;NAGCREAT;N-Acetyl Glucosamide/Creatinine;A relative measurement (ratio or percentage) of the N-acetyl glucosamide to creatinine in a biological specimen.;N-Acetyl Glucosamide to Creatinine Ratio Measurement;
C74892;C65047;;Laboratory Test Code;NPY;NPY;Neuropeptide Y;A measurement of the neuropeptide Y in a biological specimen.;Neuropeptide Y Measurement;
C74868;C65047;;Laboratory Test Code;NOREPIN;NOREPIN;Norepinephrine, Noradrenaline;A measurement of the norepinephrine hormone in a biological specimen.;Noradrenaline Measurement;
C74801;C65047;;Laboratory Test Code;OSMLTY;OSMLTY;Osmolality;A measurement of the osmoles of solute per unit of biological specimen.;Osmolality Measurement;
C74884;C65047;;Laboratory Test Code;OXYCDN;OXYCDN;Oxycodone, Oxycontin;A measurement of the oxycodone present in a biological specimen.;Oxycodone Measurement;
C74869;C65047;;Laboratory Test Code;OXYTOCIN;OXYTOCIN;Oxytocin, Oxytoxin;A measurement of the oxytocin hormone in a biological specimen.;Oxytocin Measurement;
C74694;C65047;;Laboratory Test Code;PCP;PCP;Phencyclidine, Phenylcyclohexylpiperidine;A measurement of the phencyclidine present in a biological specimen.;Phencyclidine Measurement;
C74695;C65047;;Laboratory Test Code;PHENTHZ;PHENTHZ;Phenothiazine, Dibenzothiazine;A measurement of the phenothiazine present in a biological specimen.;Phenothiazine Measurement;
C79461;C65047;;Laboratory Test Code;PHOSCRT;PHOSCRT;Phosphate/Creatinine;A relative measurement (ratio or percentage) of the phosphate to creatinine in a biological specimen.;Phosphate to Creatinine Ratio Measurement;
C79462;C65047;;Laboratory Test Code;KCREAT;KCREAT;Potassium/Creatinine;A relative measurement (ratio or percentage) of the potassium to creatinine in a biological specimen.;Potassium to Creatinine Ratio Measurement;
C74870;C65047;;Laboratory Test Code;PROLCTN;PROLCTN;Prolactin;A measurement of the prolactin hormone in a biological specimen.;Prolactin Measurement;
C74885;C65047;;Laboratory Test Code;PROPOX;PROPOX;Propoxyphene;A measurement of the propoxyphene present in a biological specimen.;Propoxyphene Measurement;
C79463;C65047;;Laboratory Test Code;PROTCRT;PROTCRT;Protein/Creatinine;A relative measurement (ratio or percentage) of the protein to creatinine in a biological specimen.;Protein to Creatinine Ratio Measurement;
C74696;C65047;;Laboratory Test Code;PSDEPHD;PSDEPHD;Pseudoephedrine;A measurement of the pseudoephedrine present in a biological specimen.;Pseudoephedrine Measurement;
C74629;C65047;;Laboratory Test Code;LYMRCT;LYMRCT;Reactive Lymphocytes;A measurement of the reactive lymphocytes (lymphocytes which have become large due to an antigen reaction) in a biological specimen.;Reactive Lymphocyte Count Measurement;
C74893;C65047;;Laboratory Test Code;RENIN;RENIN;Renin, Angiotensinogenase;A measurement of the renin in a biological specimen.;Renin Measurement;
C74871;C65047;;Laboratory Test Code;SECRETIN;SECRETIN;Secretin;A measurement of the secretin hormone in a biological specimen.;Secretin Measurement;
C74872;C65047;;Laboratory Test Code;SRTONIN;SRTONIN;Serotonin;A measurement of the serotonin hormone in a biological specimen.;Serotonin Measurement;
C79464;C65047;;Laboratory Test Code;NACREAT;NACREAT;Sodium/Creatinine;A relative measurement (ratio or percentage) of the sodium to creatinine in a biological specimen.;Sodium to Creatinine Ratio Measurement;
C79465;C65047;;Laboratory Test Code;SDH;SDH;Sorbitol Dehydrogenase;A measurement of the sorbitol dehydrogenase in a biological specimen.;Sorbitol Dehydrogenase Measurement;
C74873;C65047;;Laboratory Test Code;THRMPTN;THRMPTN;Thrombopoietin;A measurement of the thrombopoietin hormone in a biological specimen.;Thrombopoietin Measurement;
C74874;C65047;;Laboratory Test Code;TRH;TRH;Thyrotropin Releasing Hormone, Thyrotropin Releasing Factor;A measurement of the thyrotropin releasing hormone in a biological specimen.;Thyrotropin Releasing Hormone Measurement;
C74875;C65047;;Laboratory Test Code;VMA;VMA;Vanillyl Mandelic Acid, Vanilmandelic Acid;A measurement of the vanillyl mandelic acid metabolite in a biological specimen.;Vanillyl Mandelic Acid Measurement;
C74895;C65047;;Laboratory Test Code;VITA;VITA;Vitamin A, Retinol;A measurement of the Vitamin A in a biological specimen.;Vitamin A Measurement;
C74896;C65047;;Laboratory Test Code;VITB1;VITB1;Thiamine, Vitamin B1;A measurement of the thiamine in a biological specimen.;Vitamin B1 Measurement;
C74897;C65047;;Laboratory Test Code;VITB17;VITB17;Vitamin B17, Amygdalin;A measurement of the Vitamin B17 in a serum specimen.;Vitamin B17 Measurement;
C74898;C65047;;Laboratory Test Code;VITB2;VITB2;Riboflavin, Vitamin B2;A measurement of the riboflavin in a biological specimen.;Vitamin B2 Measurement;
C74899;C65047;;Laboratory Test Code;VITB3;VITB3;Niacin, Vitamin B3;A measurement of the niacin in a biological specimen.;Vitamin B3 Measurement;
C74900;C65047;;Laboratory Test Code;VITB5;VITB5;Vitamin B5, Pantothenic Acid;A measurement of the Vitamin B5 in a biological specimen.;Vitamin B5 Measurement;
C74901;C65047;;Laboratory Test Code;VITB6;VITB6;Vitamin B6, Pyridoxine;A measurement of the Vitamin B6 in a biological specimen.;Vitamin B6 Measurement;
C74902;C65047;;Laboratory Test Code;VITB7;VITB7;Vitamin B7, Biotin;A measurement of the Vitamin B7 in a biological specimen.;Vitamin B7 Measurement;
C74903;C65047;;Laboratory Test Code;VITC;VITC;Vitamin C, Ascorbic Acid;A measurement of the Vitamin C in a biological specimen.;Vitamin C Measurement;
C74904;C65047;;Laboratory Test Code;VITD2;VITD2;Vitamin D2, Ergocalciferol;A measurement of the Vitamin D2 in a biological specimen.;Vitamin D2 Measurement;
C74905;C65047;;Laboratory Test Code;VITD3;VITD3;Vitamin D3, Cholecalciferol;A measurement of the Vitamin D3 in a biological specimen.;Vitamin D3 Measurement;
C74906;C65047;;Laboratory Test Code;VITE;VITE;Vitamin E, Tocopherol;A measurement of the Vitamin E in a biological specimen.;Vitamin E Measurement;
C74907;C65047;;Laboratory Test Code;VITK;VITK;Vitamin K, Naphthoquinone;A measurement of the Vitamin K in a biological specimen.;Vitamin K Measurement;
C74720;C65047;;Laboratory Test Code;VOLUME;VOLUME;Volume;A measurement of the volume of a biological specimen.;Volume Measurement;
C67154;;Yes;Laboratory Test Name;LBTEST;LBTEST;Laboratory Test Name;Terminology used for Laboratory Tests of the CDISC Standard Data Tabulation Model.;CDISC SDTM Laboratory Test Terminology by Name;
C74797;C67154;;Laboratory Test Name;Anisocytes;ANISO;Anisocytes;A measurement of the inequality in the size of the red blood cells in a whole blood specimen.;Anisocytosis;
C79602;C67154;;Laboratory Test Name;Poikilocytes;POIKILO;Poikilocytes;A measurement of the odd-shaped erythrocytes in a whole blood specimen.;Poikilocytosis;
C38037;C67154;;Laboratory Test Name;Bilirubin;BILI;Bilirubin;A measurement of the total bilirubin in a biological specimen.;Total Bilirubin;
C38462;C67154;;Laboratory Test Name;Activated Partial Thromboplastin Time;APTT;Activated Partial Thromboplastin Time;A measurement of the length of time that it takes for clotting to occur when reagents are added to a plasma specimen. The test is partial due to the absence of tissue factor (Factor III) from the reaction mixture.;Partial Thromboplastin Time;
C41376;C67154;;Laboratory Test Name;Glucose;GLUC;Glucose;A measurement of the glucose in a biological specimen.;Plasma Glucose Measurement;
C45997;C67154;;Laboratory Test Name;pH;PH;pH;A measure of the acidity or alkalinity of a fluid on a scale of 0 to 14.;pH;
C51946;C67154;;Laboratory Test Name;Erythrocytes;RBC;"Erythrocytes; Red Blood Cells";A measurement of the total erythrocytes in a biological specimen.;Erythrocyte Count;
C51947;C67154;;Laboratory Test Name;Reticulocytes;RETI;Reticulocytes;A measurement of the reticulocytes in a biological specimen.;Reticulocyte Count;
C51948;C67154;;Laboratory Test Name;Leukocytes;WBC;"Leukocytes; White Blood Cells";A measurement of the leukocytes in a biological specimen.;Leukocyte Count;
C51949;C67154;;Laboratory Test Name;Lymphocytes;LYM;Lymphocytes;A measurement of the lymphocytes in a biological specimen.;Lymphocyte Count;
C51951;C67154;;Laboratory Test Name;Platelet;PLAT;Platelet;A measurement of the platelets in a biological specimen.;Platelet Count;
C61019;C67154;;Laboratory Test Name;Blood Urea Nitrogen;BUN;Blood Urea Nitrogen;A measurement of the urea nitrogen in a blood specimen.;Blood Urea Nitrogen Measurement;
C61032;C67154;;Laboratory Test Name;Cholesterol;CHOL;"Cholesterol; Total Cholesterol";A measurement of the cholesterol in a biological specimen.;Serum Total Cholesterol Measurement;
C61041;C67154;;Laboratory Test Name;HDL Cholesterol;HDL;HDL Cholesterol;A measurement of the high density lipoprotein cholesterol in a biological specimen.;Serum HDL Cholesterol Measurement;
C61042;C67154;;Laboratory Test Name;LDL Cholesterol;LDL;LDL Cholesterol;A measurement of the low density lipoprotein cholesterol in a biological specimen.;Serum LDL Cholesterol Measurement;
C62656;C67154;;Laboratory Test Name;Prothrombin Time;PT;Prothrombin Time;A blood clotting measurement that evaluates the extrinsic pathway of coagulation and is expressed in units of time or percent activity.;Prothrombin Time;
C63321;C67154;;Laboratory Test Name;Neutrophils;NEUT;Neutrophils;A measurement of the neutrophils in a biological specimen.;Absolute Neutrophil Count;
C64431;C67154;;Laboratory Test Name;Albumin;ALB;Albumin;A measurement of the albumin protein in a biological specimen.;Albumin Measurement;
C64432;C67154;;Laboratory Test Name;Alkaline Phosphatase;ALP;Alkaline Phosphatase;A measurement of the alkaline phosphatase in a biological specimen.;Alkaline Phosphatase Measurement;
C64433;C67154;;Laboratory Test Name;Alanine Aminotransferase;ALT;"Alanine Aminotransferase; SGPT";A measurement of the alanine aminotransferase in a biological specimen.;Alanine Aminotransferase Measurement;
C64434;C67154;;Laboratory Test Name;Amylase;AMYLASE;Amylase;A measurement of the pancreatic enzyme amylase in a biological specimen.;Amylase Measurement;
C64467;C67154;;Laboratory Test Name;Aspartate Aminotransferase;AST;"Aspartate Aminotransferase; SGOT";A measurement of the aspartate aminotransferase in a biological specimen.;Aspartate Aminotransferase Measurement;
C64469;C67154;;Laboratory Test Name;Bacteria;BACT;Bacteria;A measurement of the bacteria in a biological specimen.;Bacterial Count;
C64470;C67154;;Laboratory Test Name;Basophils;BASO;Basophils;A measurement of the basophils in a biological specimen.;Total Basophil Count;
C64471;C67154;;Laboratory Test Name;Basophils/Leukocytes;BASOLE;Basophils/Leukocytes;A relative measurement (ratio or percentage) of the basophils to leukocytes in a biological specimen.;Basophil To Leukocyte Ratio;
C64481;C67154;;Laboratory Test Name;Direct Bilirubin;BILDIR;Direct Bilirubin;A measurement of the conjugated or water-soluble bilirubin in a biological specimen.;Direct Bilirubin Measurement;
